probability_bin,mean_probability,observed_rate,count
"(-0.001, 0.1]",0.03122408542917159,0.02125667197303118,32037
"(0.1, 0.2]",0.14423847609505364,0.12183323768139706,12197
"(0.2, 0.3]",0.2465701790470547,0.21724581724581724,7770
"(0.3, 0.4]",0.348210397575657,0.33743146702109983,6019
"(0.4, 0.5]",0.44951255603001894,0.4418738049713193,5230
"(0.5, 0.6]",0.5506066013796476,0.5248447204968945,5796
"(0.6, 0.7]",0.6507747453600838,0.658429351121892,6596
"(0.7, 0.8]",0.752326075000757,0.7600431706439621,8339
"(0.8, 0.9]",0.855319235654196,0.8716888684734344,13062
"(0.9, 1.0]",0.9634950085211754,0.9694649418012288,32389
